date,rating,userName,title,review
2025-04-11 16:03:27-07:00,5,23nofear,Good,Excelente
2025-04-07 11:01:11-07:00,2,astayathimemomdoingherething,Ai replacement,It doesn’t listen to directions well airbrush app is much more efficient
2025-04-04 11:14:53-07:00,1,toexpensiveee,Don’t sign up for free trial!,I signed up for a free trial back in 2024 and never ended up using the app! I cancelled and got charged $40 and asked for a refund from Apple. Apple denied my request ok I sucked it up and let it go. But then a whole year later got charged again for a renewal after I previously cancelled! I don’t want this app it’s useless and they will keep charging you whether you want it or not! Beware!
2025-04-03 05:53:19-07:00,1,𝕂𝕚𝕒ℙ𝕒𝕨𝕤𝕆𝕟𝕊𝕥𝕠𝕣𝕖③⑦④,I hate this app because it’s trying to be better than YouCam fun,Stupid
2025-03-31 09:36:32-07:00,2,Meesa33,Price,"I used to use this app all the time, but now all of a sudden you need a subscription to use most of the features that were previously free. It's very upsetting."
2025-03-25 13:00:50-07:00,4,milan_reviews,NICE JOB!,pretty good!
2025-03-22 23:02:50-07:00,4,NMarin2,A Lot of Options With Purchase,There’s a lot of options but you have to purchase this app. The free options are so few and very limited. My advice before purchasing try the different effects and get used to it. You won’t be able to save the photos unless you purchase it but at least by trying it you’ll get an idea of how it works.  Then you can make an informed decision about buying it.
2025-03-22 10:53:18-07:00,5,Ksj4fsu,Easy to Edit any Photo,Have been really happy with this app. Beginner user friendly. Have been happy with photo outcomes.
2025-03-21 04:28:35-07:00,1,"No good, waste of money",Do not get this app,I chose the weekly billing in the event i wanted to continue after the free trial. They still billed me 79 for a year instead.  Retake is a much better app
2025-03-20 15:04:29-07:00,1,Lllllllooppsdjdbehe,Scam,Do not use this app even for the free trial!! They charged me $84 for a year subscription and I used the app once!!! Apple refused my request for a refund and the company said they cannot help me. So I just handed them over $84. NOT RIGHT!!!
2025-03-19 11:46:17-07:00,1,Claire Elise C,waste of time,you need to pay for everything.
2025-03-19 09:39:32-07:00,1,Midnitefun27,This app is scam,"Don't ever download this app unless u wanna pay $79.00 even tho I already cancelled.. and those support at Apple wont help u by denied your request  many ppl  specially teens are being scam as well ., just read the review  thus teen  disappointed how cruel this company doing as such a biz.. I think it's Apple product  working together any other apps once  your free trial is up  that's it unless u called them and tell u interested to fir subscription but not thus one u cancelled they are going to still charge u  and how is that alright fir this apps to Robert and other apps can't tell me that anyway this not the end  I will take this court the apps  and Apple as well .. u guys think u won will see .."
2025-03-14 07:01:45-07:00,5,Val🤍VILL,Refund help for yearly subcription,I was charged for a yearly subcription but I’m can’t afford pay $83. This was an accidental charge would the app developer be willing to offer me a courtesy refund ? It will really help me. Please
2025-03-13 14:50:49-07:00,5,Pretty littlepatriot,Great app,"This app is the best and has more than just every filter that you can imagine, it has video filters and more. I was really shocked with this app."
2025-03-12 09:33:07-07:00,5,No puedo con tanto,Me encanta,Muy buena la aplicación tiene variedad de opciones
2025-03-10 13:50:33-07:00,1,Kazmas111,Everything looks horribly fake,Any AI features are literally horrendous… doesn’t do what it claims to do. Worst app ever unless you wanna look ridiculously fake.
2025-03-07 17:17:11-07:00,5,Christine ying,Best photo filter editor!,Love it and I tried so many apps but it’s my favorite
2025-03-06 20:11:23-07:00,5,Full of life💕,Love it!,I love this app!!  Beautiful pics!!
2025-03-03 06:24:14-07:00,1,Ecam1975,Not a good app for the value,Every feature that will drastically change your picture has extra costs. I don’t recommend this app.
2025-02-28 14:14:39-07:00,1,Yall should do better,Do better,"I hate this app because if you try to do anything you have to pay money and you can’t rlly do anything without paying so this app is terrible 

DONT GET IT"
2025-02-25 16:07:26-07:00,5,kulambog,Best photo apps,Best apps to remove unwanted people or things in your background
2025-02-24 14:18:28-07:00,1,Inali2006,Bummer,"This app used to be my “go-to” for doing a quick edit if I didn’t like the way the light captured my face or I didn’t smile big enough or the occasional blemish remover, but now all those things are not available unless you pay.

I understand that’s the price of business, but I have to let it go."
2025-02-23 16:11:08-07:00,1,Thetruthbehindapps,This app is terrible does not even deserve one star,This app does not let you do anything without paying. If you do pay it is 100% not worth it. It does not work well and instead of doing as it is supposed to just warps your body. The hair changer does not work and the acne eraser makes your acne look HUGE. I would never recommend this app and would recommend snapseed that’ works so much better and is 100% free. I am just your average girl trying to look good in photos but this app really lowered my self esteem.
2025-02-23 07:13:41-07:00,1,Nicehoymañana,Mala,Hay foto que me dice que no puede editar y no entiendo el motivo
2025-02-22 02:12:22-07:00,5,Fonz Coinmaster Dollas,I’m Loving This App!!!,"It has so many Great Features and things you can do with it, I’ve literally been having fun all day with YouCam editing amazing quality pictures"
2025-02-21 20:27:51-07:00,4,Velociraptor802,Addicted,Addicted
2025-02-21 14:52:00-07:00,1,Edawnable,Watch out for this,Charge me for the whole year without sending me a notification renewal on my phone or email before canceling on the day trial has ended. Ridiculous.
